Date,Time,Date_Time,Sampling _Site,Sample_Location,Chlorophyll_a_ugl_replicate_1,Chlorophyll_a_ugl_replicate_2,Chlorophyll_a_ugl_replicate_3,Phycocyanin_ugl_replicate_1,Phycocyanin_ugl_replicate_2,Phycocyanin_ugl_replicate_3,Phycocyanin_to_chlorphyll_ratio_1,Phycocyanin_to_chlorphyll_ratio_2,Phycocyanin_to_chlorphyll_ratio_3,Sample_depth_feet,Comments_notes,Was_a_DOH_toxin_sample_collected,Currently_under_advisory,Are_advisory_signs_posted,Weather,Which_sections_of_the_pond_have_a_bloom,Are_people_using_the_lake_recreationally,Evidence_of_dead_fish_animals,Is_the_bloom_near_a_boat_ramp,Extent_of_waterbody_covered_by_bloom,Water_temperature_c,pH,ORP_mv,Specific_conductivity_uS-cm,Dissolved_oxygen_mg-l,Turbidity_NTU,iNaturalist_link,x coordinate,y coordinate
8/23/2022,5:35:00 PM,8/23/22 5:35 PM,Polo_Lake,Shore,5.08,5.28,5.66,8.77,8.97,8.56,1.72,1.69,1.51,0.5,,,,,,,,,,,,,,,,,,-71.41535996,41.78615357
8/23/2022,5:15:00 PM,8/23/22 5:15 PM,Cunliff_Lake,Shore,3.59,3.86,3.77,67.32,50.68,57.05,18.75,13.12,15.13,0.5,,,,,,,,,,,,,,,,,,-71.41363784,41.77728468
9/20/2022,5:25:00 PM,9/20/22 5:25 PM,Polo_Lake,Shore,6.30,6.23,5.80,52.53,44.93,46.98,8.33,7.21,8.10,0.5,,,,,,,,,,,,,,,,,,-71.41572614,41.78625898
9/20/2022,5:28:00 PM,9/20/22 5:28 PM,Elm_Lake,Shore,2.07,,,13.08,,,6.31,,,0.5,,,,,,,,,,,,,,,,,,-71.41284336,41.77392322
9/20/2022,5:19:00 PM,9/20/22 5:19 PM,Cunliff_Lake,Shore,2.08,2.28,2.41,20.05,16.36,16.57,9.64,7.17,6.87,0.5,,,,,,,,,,,,,,,,,,-71.41420479,41.77756328
10/4/2022,4:30:00 PM,10/4/22 4:30 PM,Cunliff_Lake,Shore,2.23,1.95,2.39,32.78,27.67,28.69,14.25,27.67,12.00,0.5,,,,,,,,,,,,,,,,,,-71.41417533,41.77723614
10/4/2022,4:45:00 PM,10/4/22 4:45 PM,Elm_Lake,Shore,2.85,3.03,2.82,21.50,28.69,30.75,7.54,9.46,10.90,0.5,,,,,,,,,,,,,,,,,,-71.41275386,41.77389448
10/4/2022,4:53:00 PM,10/4/22 4:53 PM,Edgewood_Lake,Shore,2.19,2.27,2.31,20.68,24.17,29.72,9.11,11.03,12.86,0.5,,,,,,,,,,,,,,,,,,-71.41547187,41.78619923
10/18/2022,4:30:00 PM,10/18/22 4:30 PM,Cunliff_Lake,Shore,2.22,2.27,1.94,6.72,5.29,5.70,3.02,2.23,1.94,0.5,,,,,,,,,,,,,,,,,,-71.41406816,41.77726775
10/18/2022,4:30:00 PM,10/18/22 4:30 PM,Elm_Lake,Shore,2.37,1.84,1.89,13.69,10.61,12.87,5.77,5.76,6.80,0.5,,,,,,,,,,,,,,,,,,-71.41273678,41.77388243
10/18/2022,5:00:00 PM,10/18/22 5:00 PM,Polo_Lake,Shore,4.36,3.94,4.23,22.12,25.00,25.61,5.07,6.34,6.05,0.5,,,,,,,,,,,,,,,,,,-71.41564564,41.78623973
6/20/2023,2:39:00 PM,6/20/23 2:39 PM,Spectacle_Pond,Shore,0.88,0.82,0.69,1.61,0.64,6.31,1.83,0.78,9.14,0.2,,No,No,No,Sunny,,No,No,No,No bloom,,,,,,,,-71.44271,41.79039
6/20/2023,2:54:00 PM,6/20/23 2:54 PM,Mashapaug_Pond,Shore,1.12,0.90,0.93,0.10,0.10,0.10,0.09,0.11,0.12,0.2,Sample collected at 2:54 pm at JT Owens Park boatramp,Yes,No,No,"Sunny,Partly_Cloudy","North,South,East,West,North_East,North_West,South_East,South_West",No,No,Yes,Greater than 75%,,,,,,,,-71.43253,41.79393
7/21/2023,12:43:00 PM,7/21/23 12:43 PM,Spectacle_Pond,Shore,0.96,0.95,1.06,20.27,25.00,25.20,21.33,26.31,23.77,0.3,,No,No,No,"Overcast,Humid",,No,No,No,No bloom,,,,,,,,-71.44271,41.79039
